"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Viscaria vulgaris",1938,1.082,0.181,54,54,54,91,0
"Viscaria vulgaris",2010,0.36,0.055,60,60,60,91,47
"Aira praecox",1938,0.876,0.148,44,44,44,91,0
"Aira praecox",2010,0.391,0.061,54,54,54,91,11
"Athyrium filix-femina",1938,0.747,0.128,44,44,44,91,0
"Athyrium filix-femina",2010,0.352,0.053,60,60,60,91,40
"Atriplex pedunculata",1938,0.73,0.218,12,12,12,91,0
"Atriplex pedunculata",2010,0.168,0.066,7,7,7,91,0
"Avenella flexuosa",1938,0.797,0.137,43,43,43,91,0
"Avenella flexuosa",2010,0.49,0.074,62,62,62,91,10
"Baldellia ranunculoides",1938,0.798,0.15,33,33,33,91,0
"Baldellia ranunculoides",2010,0.402,0.071,40,40,40,91,9
"Berberis vulgaris",1938,0.458,0.088,32,32,32,91,0
"Berberis vulgaris",2010,0.407,0.061,65,65,65,91,53
"Berula erecta",1938,0.257,0.069,15,15,15,91,0
"Berula erecta",2010,0.424,0.07,49,49,49,91,15
"Blysmus rufus",1938,1.049,0.215,27,27,27,91,0
"Blysmus rufus",2010,0.16,0.048,12,12,12,91,0
"Botrychium lunaria",1938,0.697,0.126,36,36,36,91,0
"Botrychium lunaria",2010,0.252,0.044,37,37,37,91,3
"Brachypodium pinnatum",1938,0.623,0.12,33,33,33,91,0
"Brachypodium pinnatum",2010,0.351,0.061,44,44,44,91,25
"Brachypodium sylvaticum",1938,0.615,0.11,39,39,39,91,0
"Brachypodium sylvaticum",2010,0.437,0.066,66,66,66,91,38
"Ajuga pyramidalis",1938,0.522,0.165,11,11,11,91,0
"Ajuga pyramidalis",2010,0.369,0.112,12,12,12,91,0
"Bromopsis benekenii",1938,0.411,0.102,18,18,18,91,0
"Bromopsis benekenii",2010,0.449,0.085,34,34,34,91,0
"Bupleurum tenuissimum",1938,0.363,0.08,23,23,23,91,0
"Bupleurum tenuissimum",2010,0.502,0.077,61,61,61,91,21
"Cakile maritima",1938,0.588,0.116,29,29,29,91,0
"Cakile maritima",2010,0.756,0.126,66,66,66,91,17
"Calamagrostis canescens",1938,0.779,0.137,41,41,41,91,0
"Calamagrostis canescens",2010,0.293,0.049,42,42,42,91,2
"Caltha palustris",1938,1.597,0.278,65,65,65,91,0
"Caltha palustris",2010,0.563,0.09,76,76,76,91,66
"Campanula cervicaria",1938,0.582,0.115,30,30,30,91,0
"Campanula cervicaria",2010,0.254,0.049,31,31,31,91,1
"Campanula latifolia",1938,0.552,0.114,27,27,27,91,0
"Campanula latifolia",2010,0.345,0.063,35,35,35,91,0
"Cardamine amara",1938,0.392,0.122,11,11,11,91,0
"Cardamine amara",2010,0.374,0.094,17,17,17,91,0
"Cardamine bulbifera",1938,0.576,0.108,34,34,34,91,0
"Cardamine bulbifera",2010,0.44,0.071,58,58,58,91,33
"Carduus nutans",1938,0.393,0.091,21,21,21,91,0
"Carduus nutans",2010,0.317,0.057,39,39,39,91,12
"Alchemilla acutiloba",1938,0.852,0.183,25,25,25,91,0
"Alchemilla acutiloba",2010,0.209,0.062,12,12,12,91,0
"Carex acutiformis",1938,0.537,0.108,29,29,29,91,0
"Carex acutiformis",2010,0.196,0.041,25,25,25,91,0
"Carex appropinquata",1938,0.514,0.154,12,12,12,91,0
"Carex appropinquata",2010,0.29,0.086,12,12,12,91,0
"Carex arenaria",1938,0.867,0.148,43,43,43,91,0
"Carex arenaria",2010,0.472,0.073,59,59,59,91,24
"Carex canescens",1938,0.654,0.238,8,8,8,91,0
"Carex canescens",2010,0.521,0.163,11,11,11,91,0
"Carex colchica",1938,0.388,0.097,17,17,17,91,0
"Carex colchica",2010,0.286,0.058,27,27,27,91,0
"Carex digitata",1938,0.533,0.119,23,23,23,91,0
"Carex digitata",2010,0.363,0.072,31,31,31,91,0
"Carex distans",1938,0.844,0.17,28,28,28,91,0
"Carex distans",2010,0.222,0.051,21,21,21,91,4
"Carex echinata",1938,0.918,0.196,25,25,25,91,0
"Carex echinata",2010,0.281,0.073,16,16,16,91,0
"Carex elata",1938,1.746,0.311,67,67,67,91,0
"Carex elata",2010,0.542,0.086,75,75,75,91,66
"Carex extensa",1938,0.791,0.195,18,18,18,91,0
"Carex extensa",2010,0.266,0.074,14,14,14,91,0
"Alchemilla filicaulis",1938,0.557,0.161,13,13,13,91,0
"Alchemilla filicaulis",2010,0.048,0.034,2,2,2,91,0
"Carex flava",1938,0.604,0.174,13,13,13,91,0
"Carex flava",2010,0.267,0.087,10,10,10,91,0
"Carex lasiocarpa",1938,0.866,0.152,41,41,41,91,0
"Carex lasiocarpa",2010,0.215,0.04,33,33,33,91,9
"Carex leporina",1938,0.613,0.117,32,32,32,91,0
"Carex leporina",2010,0.334,0.057,41,41,41,91,2
"Carex obtusata",1938,0.913,0.158,42,42,42,91,0
"Carex obtusata",2010,0.296,0.051,42,42,42,91,17
"Carex ornithopoda",1938,0.422,0.099,20,20,20,91,0
"Carex ornithopoda",2010,0.292,0.059,28,28,28,91,0
"Carex pilulifera",1938,0.429,0.096,22,22,22,91,0
"Carex pilulifera",2010,0.375,0.066,38,38,38,91,0
"Carex pulicaris",1938,0.836,0.142,46,46,46,91,0
"Carex pulicaris",2010,0.185,0.032,37,37,37,91,25
"Carex remota",1938,0.728,0.204,14,14,14,91,0
"Carex remota",2010,0.52,0.131,18,18,18,91,0
"Carex riparia",1938,0.672,0.121,39,39,39,91,0
"Carex riparia",2010,0.282,0.047,45,45,45,91,24
"Carex rostrata",1938,0.577,0.165,13,13,13,91,0
"Carex rostrata",2010,0.259,0.08,11,11,11,91,0
"Alchemilla glabra",1938,0.972,0.166,48,48,48,91,0
"Alchemilla glabra",2010,0.18,0.034,31,31,31,91,16
"Carex sylvatica",1938,0.782,0.137,42,42,42,91,0
"Carex sylvatica",2010,0.35,0.056,50,50,50,91,14
"Carex tomentosa",1938,0.587,0.115,32,32,32,91,0
"Carex tomentosa",2010,0.409,0.07,49,49,49,91,29
"Carex vesicaria",1938,0.805,0.143,40,40,40,91,0
"Carex vesicaria",2010,0.339,0.057,43,43,43,91,6
"Carex vulpina",1938,0.703,0.139,30,30,30,91,0
"Carex vulpina",2010,0.204,0.048,20,20,20,91,1
"Carpinus betulus",1938,0.244,0.084,9,9,9,91,0
"Carpinus betulus",2010,0.359,0.082,21,21,21,91,0
"Catabrosa aquatica",1938,0.56,0.143,17,17,17,91,0
"Catabrosa aquatica",2010,0.14,0.051,8,8,8,91,0
"Centaurium erythraea var. capitatum",1938,1.099,0.327,13,13,13,91,0
"Centaurium erythraea var. capitatum",2010,0.133,0.069,4,4,4,91,0
"Centaurium erythraea var. erythraea",1938,0.77,0.132,42,42,42,91,0
"Centaurium erythraea var. erythraea",2010,0.357,0.055,55,55,55,91,21
"Centaurium littorale",1938,0.965,0.159,50,50,50,91,0
"Centaurium littorale",2010,0.423,0.064,64,64,64,91,40
"Centaurium pulchellum",1938,0.749,0.128,44,44,44,91,0
"Centaurium pulchellum",2010,0.49,0.075,70,70,70,91,45
"Alchemilla micans",1938,0.363,0.098,15,15,15,91,0
"Alchemilla micans",2010,0.333,0.073,23,23,23,91,0
"Cephalanthera longifolia",1938,0.581,0.145,18,18,18,91,0
"Cephalanthera longifolia",2010,0.393,0.086,25,25,25,91,0
"Cerastium arvense",1938,0.606,0.108,39,39,39,91,0
"Cerastium arvense",2010,0.473,0.072,70,70,70,91,51
"Chaenorhinum minus",1938,0.644,0.113,41,41,41,91,0
"Chaenorhinum minus",2010,0.537,0.085,74,74,74,91,63
"Chenopodiastrum hybridum",1938,0.596,0.107,38,38,38,91,0
"Chenopodiastrum hybridum",2010,0.362,0.055,60,60,60,91,43
"Cichorium intybus",1938,0.893,0.149,50,50,50,91,0
"Cichorium intybus",2010,0.855,0.182,84,84,84,91,66
"Cladium mariscus",1938,0.468,0.095,27,27,27,91,0
"Cladium mariscus",2010,0.387,0.062,51,51,51,91,12
"Coeloglossum viride",1938,0.542,0.128,20,20,20,91,0
"Coeloglossum viride",2010,0.284,0.063,24,24,24,91,4
"Comarum palustre",1938,0.454,0.096,25,25,25,91,0
"Comarum palustre",2010,0.273,0.049,36,36,36,91,0
"Conium maculatum",1938,0.374,0.083,23,23,23,91,0
"Conium maculatum",2010,0.499,0.08,56,56,56,91,17
"Consolida regalis",1938,0.702,0.121,43,43,43,91,0
"Consolida regalis",2010,0.375,0.056,63,63,63,91,58
"Alchemilla monticola",1938,0.836,0.169,28,28,28,91,0
"Alchemilla monticola",2010,0.27,0.063,20,20,20,91,0
"Corydalis cava",1938,0.283,0.077,15,15,15,91,0
"Corydalis cava",2010,0.373,0.071,33,33,33,91,0
"Corynephorus canescens",1938,0.908,0.166,36,36,36,91,0
"Corynephorus canescens",2010,0.323,0.061,32,32,32,91,0
"Cota tinctoria",1938,0.9,0.151,50,50,50,91,0
"Cota tinctoria",2010,0.389,0.058,65,65,65,91,59
"Cotoneaster niger",1938,0.778,0.169,24,24,24,91,0
"Cotoneaster niger",2010,0.287,0.067,21,21,21,91,1
"Crepis praemorsa",1938,0.521,0.119,22,22,22,91,0
"Crepis praemorsa",2010,0.253,0.058,21,21,21,91,0
"Cuscuta epithymum",1938,0.525,0.114,23,23,23,91,0
"Cuscuta epithymum",2010,0.262,0.054,26,26,26,91,0
"Dactylorhiza incarnata",1938,1.162,0.194,57,57,57,91,0
"Dactylorhiza incarnata",2010,0.59,0.096,77,77,77,91,64
"Dactylorhiza sambucina",1938,0.358,0.076,25,25,25,91,0
"Dactylorhiza sambucina",2010,0.365,0.056,58,58,58,91,33
"Daphne mezereum",1938,0.31,0.102,10,10,10,91,0
"Daphne mezereum",2010,0.355,0.09,17,17,17,91,0
"Dasiphora fruticosa",1938,0.707,0.141,31,31,31,91,0
"Dasiphora fruticosa",2010,0.518,0.094,46,46,46,91,17
